gamma,index
572.4199841324528,321
573.6146105267582,322
575.0938860144948,323
575.8072471409288,324
577.0390034720982,325
579.0988346720366,326
580.1369593623846,327
581.9465762659016,328
583.2360882191673,329
584.5617059034655,330
585.9845632049883,331
586.7427718912502,332
588.1396632662479,333
590.6603975167653,334
591.7258580650481,335
592.5713583002256,336
593.974714682231,337
595.728153697389,338
596.3627683283937,339
598.4930773461648,340
599.5456403643649,341
601.6021367359326,342
602.5791678863874,343
603.6256189035792,344
604.6162184937532,345
606.383460422109,346
608.4132173111873,347
609.3895751547201,348
610.8391629377394,349
611.7742096208872,350
613.5997786756371,351
614.6462378722326,352
615.538563369407,353
618.1128313664424,354
619.1844825979537,355
620.2728936722275,356
621.7092945279486,357
622.375002739779,358
624.2699000181779,359
626.0192834276544,360
627.268396850783,361
628.3258623594604,362
630.4738874382921,363
630.8057809271976,364
632.2251411671159,365
633.5468582522518,366
635.5238003106055,367
637.3971931598373,368
637.9255139808225,369
638.9279382668568,370
640.6947946688257,371
641.9454996657053,372
643.2788837813979,373
644.990578229748,374
646.3481915955016,375
647.7617530042888,376
648.7864008887824,377
650.1975193452564,378
650.668683891396,379
653.6495716053947,380
654.3019205863194,381
655.7094630223556,382
656.9640845994606,383
658.1756144186054,384
659.663845972964,385
660.7167325952793,386
662.2965864311004,387
664.244604652273,388
665.342763095599,389
666.5151477041729,390
667.1484948945555,391
668.9758488202351,392
670.3235852058626,393
672.4581835841698,394
673.0435782861476,395
674.3558978101232,396
676.1396743636268,397
677.230180668764,398
677.8004447462214,399
679.7421978825282,400
681.8949915331519,401
682.6027350197505,402
684.0135498138695,403
684.9726298620984,404
686.163223587728,405
687.9615431847036,406
689.3689413622724,407
690.4747350323504,408
692.4516844155208,409
693.1769700606018,410
694.5339086998731,411
695.7263359209268,412
696.6260699003457,413
699.1320954760135,414
700.2967391321434,415
701.3017429546461,416
702.2273431457605,417
704.0338392955254,418
705.1258139546193,419
706.184654799518,420
708.26907088511,421
709.2295885702842,422
711.1302741796854,423
711.9002899143753,424
712.7493834701013,425
714.0827718206694,426
716.1123964540521,427
717.4825697031002,428
718.7427865454858,429
719.6971009883657,430
721.3511622185364,431
722.2775049756742,432
723.8458210451284,433
724.5626138903791,434
727.0564032300493,435
728.4054815889341,436
728.7587497956142,437
730.4164821227564,438
731.4173549185986,439
732.8180527144998,440
734.789643252378,441
735.7654592085784,442
737.0529289122653,443
738.5804211713738,444
739.9095236740419,445
740.573807447295,446
741.7573355729417,447
743.8950131424737,448
745.3449895506119,449
746.4993058994323,450
747.6745636242696,451
748.2427544650845,452
750.6559503621243,453
750.9663810666508,454
752.8876215672024,455
754.3223704717127,456
755.8393089760378,457
756.768248439951,458
758.1017292464126,459
758.9002382248924,460
760.282366983512,461
762.700033249691,462
763.5930661728372,463
764.3075227241802,464
766.0875400998362,465
767.2184721555395,466
768.2814618065092,467
769.6934072526244,468
771.0708393136783,469
772.961617565757,470
774.1177446279405,471
775.0478470965805,472
775.9997119631714,473
777.2997485295925,474
779.157076949189,475
780.3489250041816,476
782.1376643908121,477
782.5979439460735,478
784.2888226124655,479
785.739089700715,480
786.4611474505062,481
787.46846381591,482
790.0590923641196,483
790.8316204679211,484
792.4277076086046,485
792.8886525626226,486
794.4837918698931,487
795.6065961561624,488
797.2634700380356,489
798.7075701662963,490
799.6543362108977,491
801.604246462982,492
802.5419848784181,493
803.2430962042702,494
804.7622391126617,495
805.8616356670948,496
808.1518149359938,497
809.1977833633007,498
810.0818048864071,499
811.1843588465063,500
