center_type,m0,Q,c_I,kappa,W_factor,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,status,tail_edge
small_gap_midpoint,1415.683683049389,5.417490795212591,0.05,0.25,100.0,320,12,32,9578732.015799256,3168.935241551177,-9.513934748792122,3057.714345381499,3067.080017203623,1.3823566986558961e-08,4.394713235863205e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.05,0.25,200.0,320,12,62,9578732.148211502,3168.935262945802,-9.513934756973526,3057.714366774358,3067.0779881421727,8.401437340394937e-10,4.3947131751125924e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.05,0.5,50.0,320,12,16,1563023.8611673007,1259.4787933106288,-8.440966139209353,1259.4794440394567,1260.9089375381163,5.315094469531393e-07,2.7408947167522032e-14,healthy,False
small_gap_midpoint,1415.683683049389,5.417490795212591,0.05,0.25,500.0,320,12,109,9578732.15686064,3168.9352643421066,-9.513934757507933,3057.714368171735,3067.07851120858,5.600303556603348e-11,4.414158804645014e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.05,0.5,100.0,320,12,32,1563024.6919296903,1259.4791255669284,-8.440966453780426,1259.4797762954006,1260.9091292107084,6.844133297158868e-08,2.7408932599407682e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.05,0.5,200.0,320,12,62,1563024.798905191,1259.4791683508934,-8.440966494287059,1259.4798190793495,1260.9077619515751,4.15973437830046e-09,2.725996914348476e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.05,0.5,500.0,320,12,109,1563024.8058930282,1259.4791711456105,-8.440966496933028,1259.4798218740757,1260.910363992505,2.7728602142570016e-10,2.7408930600966304e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.05,1.0,50.0,320,12,16,2317.5250708129197,50.72211670741452,-4.585762847531326,46.82644859308886,47.5590916721165,2.7581692377429034e-05,9.869922029178175e-14,healthy,False
small_gap_midpoint,1415.683683049389,5.417490795212591,0.05,1.0,100.0,320,12,32,2317.4611495493396,50.721452750850695,-4.58574652323087,46.825784496007465,47.55855617617062,3.5533359384567825e-06,9.87019426584012e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.05,1.0,200.0,320,12,62,2317.452914831351,50.72136720388807,-4.585744420204493,46.82569894226554,47.558386548883426,2.159926221848923e-07,9.870229338080748e-14,reject_tail_edge,True
small_gap_midpoint,1415.683683049389,5.417490795212591,0.05,1.0,500.0,320,12,109,2317.4523768565023,50.721361610351885,-4.5857442828133355,46.82569335302452,47.55834614950639,1.4398450382872458e-08,9.87023162936198e-14,reject_tail_edge,True
