rank,target_id,status,center_type,m0,Q,c_I,kappa,W_factor,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,Q_minus_5,jet_ratio,tail_drift_rel,quad_drift_rel,tail_edge
24,T024_large_gap_midpoint_1069.262521,healthy,large_gap_midpoint,1069.262521037936,5.136847390741746,0.5,0.5,25.0,8,0.28420877923110943,0.5596733218179593,0.7687703331309648,0.523959807926842,0.23564656050368876,2.795868120452e-04,1.874050510802e+03,0.00946777095821452,4.297000713319237e-15,False
25,T025_gap_midpoint_1069.262521,healthy,gap_midpoint,1069.262521037936,5.136847390741746,0.5,0.5,50.0,16,0.2869253224663325,0.5622429606615749,0.7629571790439487,0.526499521414533,0.2367768395327317,2.795868120452e-04,1.883134320833e+03,0.0010662712495735727,4.2563176947582466e-15,False
26,T026_large_gap_midpoint_1069.262521,healthy,large_gap_midpoint,1069.262521037936,5.136847390741746,0.5,0.5,50.0,16,0.2869253224663325,0.5622429606615749,0.7629571790439487,0.526499521414533,0.2367768395327317,2.795868120452e-04,1.883134320833e+03,0.0010662712495735727,4.2563176947582466e-15,False
27,T027_gap_midpoint_2447.693418,healthy,gap_midpoint,2447.693417796073,5.965024331551558,0.2,0.5,50.0,16,0.2571665538529704,0.5142139624627196,0.7604128712758966,0.5061421405604981,0.22638017890790527,1.324155236830e-04,3.822377667531e+03,0.0018003490959022242,1.726854457535565e-15,False
28,T028_large_gap_midpoint_2447.693418,healthy,large_gap_midpoint,2447.693417796073,5.965024331551558,0.2,0.5,50.0,16,0.2571665538529704,0.5142139624627196,0.7604128712758966,0.5061421405604981,0.22638017890790527,1.324155236830e-04,3.822377667531e+03,0.0018003490959022242,1.726854457535565e-15,False
29,T029_gap_midpoint_2447.693418,healthy,gap_midpoint,2447.693417796073,5.965024331551558,0.5,0.5,25.0,8,0.25841879078184127,0.5336077740477373,0.7576929492042855,0.5022004179594843,0.22525997489655813,1.324155236830e-04,3.792609839022e+03,0.015340856963917241,2.255513564492557e-14,False
30,T030_large_gap_midpoint_2447.693418,healthy,large_gap_midpoint,2447.693417796073,5.965024331551558,0.5,0.5,25.0,8,0.25841879078184127,0.5336077740477373,0.7576929492042855,0.5022004179594843,0.22525997489655813,1.324155236830e-04,3.792609839022e+03,0.015340856963917241,2.255513564492557e-14,False
31,T031_gap_midpoint_2447.693418,healthy,gap_midpoint,2447.693417796073,5.965024331551558,0.5,0.5,50.0,16,0.26244492077231596,0.5375733484674176,0.7490364557399628,0.5061421405604987,0.2270183495844044,1.324155236830e-04,3.822377667531e+03,0.001782256895805271,2.2420635968863543e-14,False
32,T032_large_gap_midpoint_2447.693418,healthy,large_gap_midpoint,2447.693417796073,5.965024331551558,0.5,0.5,50.0,16,0.26244492077231596,0.5375733484674176,0.7490364557399628,0.5061421405604987,0.2270183495844044,1.324155236830e-04,3.822377667531e+03,0.001782256895805271,2.2420635968863543e-14,False
33,T033_gap_midpoint_851.904281,healthy,gap_midpoint,851.9042805246966,4.909597107306596,0.2,0.5,25.0,8,0.3048635874457444,0.5564322459296583,0.7465415513137519,0.5504343589805059,0.24620458029014167,3.505667545186e-04,1.570127092446e+03,0.007987067186379834,9.104260645941683e-16,False
34,T034_large_gap_midpoint_851.904281,healthy,large_gap_midpoint,851.9042805246966,4.909597107306596,0.2,0.5,25.0,8,0.3048635874457444,0.5564322459296583,0.7465415513137519,0.5504343589805059,0.24620458029014167,3.505667545186e-04,1.570127092446e+03,0.007987067186379834,9.104260645941683e-16,False
35,T035_gap_midpoint_851.904281,healthy,gap_midpoint,851.9042805246966,4.909597107306596,0.2,0.5,50.0,16,0.3073181582230665,0.5586466322317936,0.7415018482094847,0.5526523537670337,0.24719633789856676,3.505667545186e-04,1.576453975295e+03,0.0008926174528014582,1.0837853165376278e-15,False
36,T036_large_gap_midpoint_851.904281,healthy,large_gap_midpoint,851.9042805246966,4.909597107306596,0.2,0.5,50.0,16,0.3073181582230665,0.5586466322317936,0.7415018482094847,0.5526523537670337,0.24719633789856676,3.505667545186e-04,1.576453975295e+03,0.0008926174528014582,1.0837853165376278e-15,False
37,T037_gap_midpoint_933.119024,healthy,gap_midpoint,933.1190237913893,5.000655697353368,0.2,0.5,25.0,8,0.3042294254388423,0.5566476479495233,0.7393116674399642,0.5499637778945102,0.24599022709235083,3.197902593700e-04,1.719764007128e+03,0.008453272643793709,3.101901039224387e-15,False
38,T038_large_gap_midpoint_933.119024,healthy,large_gap_midpoint,933.1190237913893,5.000655697353368,0.2,0.5,25.0,8,0.3042294254388423,0.5566476479495233,0.7393116674399642,0.5499637778945102,0.24599022709235083,3.197902593700e-04,1.719764007128e+03,0.008453272643793709,3.101901039224387e-15,False
