center_type,m0,Q,c_I,kappa,W_factor,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,status
zero,25.01085758014569,3.3325922057310575,0.1,1.0,10.0,160,8,1,5267.518917682075,74.02425115101812,-7.118846600496487,74.0246765509251,74.6295053924175,0.0002494730591039894,5.179827823987066e-16,healthy
zero,25.01085758014569,3.3325922057310575,0.1,1.0,25.0,160,8,3,5266.204813623793,74.01519911798536,-7.118639328146571,74.01562292998183,74.62052622521826,1.8039553666340637e-05,5.181120373936338e-16,healthy
zero,25.01085758014569,3.3325922057310575,0.1,1.0,50.0,160,8,6,5266.109813639439,74.01454442353749,-7.11862434188716,74.01496829560693,74.61987691629356,1.6045975818473814e-06,3.454142560480983e-16,healthy
zero,25.01085758014569,3.3325922057310575,0.1,1.0,100.0,160,8,11,5266.101363652367,74.01448618979289,-7.118623008887549,74.0149100656387,74.61981915887553,2.0257716451449987e-07,3.454148102998676e-16,healthy
zero,25.01085758014569,3.3325922057310575,0.2,0.25,10.0,160,8,1,6971284.101259963,4735.837120356765,-13.09018003851059,223028991.38501707,223402068.78427157,1.1620518856638078e-06,1.0687529712893542e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.2,0.25,25.0,160,8,3,6971276.000266127,4735.834821724477,-13.09017907315056,223028991.38501725,223402068.7842717,8.30168141121953e-08,1.068754213237203e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.2,0.25,50.0,160,8,6,6971275.421533003,4735.8346574173775,-13.090179004185423,223028991.3850163,223402068.78427076,7.363020446306082e-09,1.0687543019617802e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.2,0.25,100.0,160,8,11,6971275.37020336,4735.834642845163,-13.090178998068689,223028991.38501662,223402068.78427106,9.289412069618317e-10,1.06875430983104e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.2,0.5,10.0,160,8,1,209013.3955152376,592.1429630647243,-10.176655560590364,406707.06850738736,409202.33828004985,1.931532496016308e-05,3.75958402280738e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.2,0.5,25.0,160,8,3,209009.35835358218,592.1383803286974,-10.17663951448077,406707.0685074636,409202.33827354095,1.3827418830696669e-06,3.620410099508372e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.2,0.5,50.0,160,8,6,209009.06934758843,592.1380519623939,-10.176638365785168,406707.0685075234,409202.33827312646,1.2270024097276202e-07,3.759661840439048e-15,healthy
zero,25.01085758014569,3.3325922057310575,0.2,0.5,100.0,160,8,11,209009.04370212526,592.1380228231013,-10.176638263853535,406707.06850750226,409202.33827306324,1.548202158710476e-08,3.759662301750519e-15,healthy
