B_eff,Delta,E_I,J_max,J_rms,N_quad,Q,R,S_I,W,W_mult,c_I,center_type,edge_truncated,eps,kappa,m0,num_zeros_used,ref_idx,run_label
-5.566317192265349,0.15174529807415346,763.0339484928511,83.65720054228022,39.54671450748986,257,3.294995010360484,4,28.607617784789372,15.174529807415345,50.0,0.5,gap_midpoint,False,0.3034905961483069,1.0,169.50324594749026,15,63,zero_kernel_only_proxy
1.4118259444966454,0.15116477254025418,0.1847264223043759,0.4211716392968488,0.18981558330203957,257,3.3076489422616855,4,0.45282308422158346,15.116477254025417,50.0,0.5,gap_midpoint,False,0.30232954508050836,1.0,171.66175649950162,16,64,zero_kernel_only_proxy
-3.9017453143237626,0.15052740213094865,108.1912740742815,9.64946059813122,4.762040969459795,257,3.3216543494521606,4,11.868669010515948,15.052740213094864,50.0,0.5,gap_midpoint,False,0.3010548042618973,1.0,174.08286402147866,15,65,zero_kernel_only_proxy
-2.742543769318356,0.150135760572456,27.09819282187435,4.876916898343266,2.385111311487344,257,3.3303191597627295,4,5.870001850081245,15.0135760572456,50.0,0.5,gap_midpoint,False,0.300271521144912,1.0,175.5978129105381,16,66,zero_kernel_only_proxy
-1.9693242651519804,0.14967446813904733,10.754145997412426,3.1024974897786413,1.4812169034421094,257,3.340583108239281,4,3.6334508971600386,14.967446813904733,50.0,0.5,gap_midpoint,False,0.29934893627809467,1.0,177.4094210369052,16,67,zero_kernel_only_proxy
-3.1963855790966273,0.14923906005397827,47.68503551099458,6.4336263630685835,3.183132207166913,257,3.3503293294607657,4,7.838116525347219,14.923906005397829,50.0,0.5,gap_midpoint,False,0.29847812010795655,1.0,179.1469458981785,16,68,zero_kernel_only_proxy
-0.9669655467529149,0.14876696408262674,3.2290299257902157,1.720559190947739,0.7998786005439829,257,3.3609612395013637,4,1.9554554346729072,14.876696408262672,50.0,0.5,gap_midpoint,False,0.2975339281652535,1.0,181.06178125231173,16,69,zero_kernel_only_proxy
-0.17193338994355734,0.14816747474060438,1.232588640478813,1.0746292588863968,0.49079063792630023,257,3.3745597734951347,4,1.2071601738220017,14.816747474060438,50.0,0.5,gap_midpoint,False,0.29633494948120875,1.0,183.540773166377,17,70,zero_kernel_only_proxy
-5.669942346560682,0.1477647479019805,1003.8359758995028,140.3561609028704,64.9334549862968,257,3.3837569995495422,4,34.829292256582896,14.776474790198048,50.0,0.5,gap_midpoint,False,0.295529495803961,1.0,185.23662576304747,15,71,zero_kernel_only_proxy
-2.932860916184855,0.1474886160951512,35.895218113296224,5.613057286071275,2.743693095651826,257,3.3900921524507943,4,6.840417606779864,14.74886160951512,50.0,0.5,gap_midpoint,False,0.2949772321903024,1.0,186.41385313060465,15,72,zero_kernel_only_proxy
-1.2169911175547243,0.14704675410555956,4.434539225212504,2.0116317722577977,0.939555805496591,257,3.4002790679831536,4,2.300779691955797,14.704675410555955,50.0,0.5,gap_midpoint,False,0.2940935082111191,1.0,188.3225406197594,16,73,zero_kernel_only_proxy
-0.2160909345259347,0.1465013987452521,1.30377959005747,1.104036500723264,0.5049155413655741,257,3.412936697412961,4,1.2289781237839321,14.65013987452521,50.0,0.5,gap_midpoint,False,0.2930027974905042,1.0,190.72140750836536,16,74,zero_kernel_only_proxy
-4.83038198735248,0.1460922356817148,381.1361739492717,18.355052117064435,9.722049069085296,257,3.422495368537789,4,21.57413801328739,14.60922356817148,50.0,0.5,gap_midpoint,False,0.2921844713634296,1.0,192.55319148227974,16,75,zero_kernel_only_proxy
-1.2531507478492052,0.14573562165522846,4.687510807186451,2.0711954108940343,0.9646556532086057,257,3.4308701902879064,4,2.365874769606385,14.573562165522846,50.0,0.5,gap_midpoint,False,0.29147124331045693,1.0,194.17256164168748,16,76,zero_kernel_only_proxy
-2.9053908208199113,0.14532351279854597,36.23529806263138,5.635311256436441,2.7605321135282934,257,3.4405994623397427,4,6.808879651834462,14.532351279854598,50.0,0.5,gap_midpoint,False,0.29064702559709193,1.0,196.0709392602438,16,77,zero_kernel_only_proxy
-4.515336369831342,0.1450289499373089,267.33904454628384,15.230847286292258,7.512412853838759,257,3.447587534875851,4,18.451879146863753,14.502894993730889,50.0,0.5,gap_midpoint,False,0.2900578998746178,1.0,197.4458957586051,16,78,zero_kernel_only_proxy
1.0337945645293436,0.1445655427501616,0.2772571276596443,0.5152737203284953,0.23247155309256826,257,3.45863883251973,4,0.5500403983743231,14.456554275016158,50.0,0.5,gap_midpoint,False,0.2891310855003232,1.0,199.64003080997787,16,79,zero_kernel_only_proxy
-4.176032851375995,0.1441008443196745,180.43678385472447,12.465885412548273,6.124628196170817,257,3.4697922996953157,4,15.297613952989566,14.410084431967448,50.0,0.5,gap_midpoint,False,0.288201688639349,1.0,201.87917322892218,16,80,zero_kernel_only_proxy
-2.621599845875753,0.14380169731846018,26.231646175501922,4.816696778638548,2.3336901939770707,257,3.4770104200697345,4,5.728964818208718,14.380169731846017,50.0,0.5,gap_midpoint,False,0.28760339463692036,1.0,203.34163315862253,16,81,zero_kernel_only_proxy
-4.250056028276294,0.14350831534702965,201.33781880034797,13.173613818622702,6.4641631124370305,257,3.4841186644196016,4,16.137981144902653,14.350831534702966,50.0,0.5,gap_midpoint,False,0.2870166306940593,1.0,204.79218450263392,16,82,zero_kernel_only_proxy
-0.407033397780826,0.1431372097080531,1.66382500720474,1.2460993950152803,0.570607280984367,257,3.4931517878531713,4,1.383999993305006,14.31372097080531,50.0,0.5,gap_midpoint,False,0.2862744194161062,1.0,206.65047804498477,16,83,zero_kernel_only_proxy
-2.6380548617013124,0.14272587486598862,27.31081012574515,4.90563019906156,2.388183873249678,257,3.5032190236666705,4,5.863507251369592,14.27258748659886,50.0,0.5,gap_midpoint,False,0.28545174973197723,1.0,208.74138430233126,16,84,zero_kernel_only_proxy
-1.3547316459991494,0.142359151276355,5.484294179066385,2.2371586990984342,1.0448480586740323,257,3.512243473757257,4,2.5519315591555625,14.2359151276355,50.0,0.5,gap_midpoint,False,0.28471830255271,1.0,210.6336861561108,16,85,zero_kernel_only_proxy
-2.6919322581319043,0.14199881400828748,29.62373129251192,5.11208246072084,2.484844263917904,257,3.5211561694509537,4,6.1219380458951855,14.19988140082875,50.0,0.5,gap_midpoint,False,0.28399762801657497,1.0,212.519390977539,15,86,zero_kernel_only_proxy
-4.239764052024812,0.14172924100189496,209.56343969716204,13.439770690849599,6.595414218410027,257,3.527853507613964,4,16.457081794443358,14.172924100189496,50.0,0.5,gap_midpoint,False,0.2834584820037899,1.0,213.94748207160205,16,87,zero_kernel_only_proxy
-2.787869258760436,0.14146568446626248,33.77858111655566,5.451607980190178,2.6585015216944976,257,3.5344260474648377,4,6.553315218913462,14.14656844662625,50.0,0.5,gap_midpoint,False,0.28293136893252496,1.0,215.35829164587756,17,88,zero_kernel_only_proxy
0.4529964534639714,0.14104902440387615,0.5636807276265311,0.7313591233396287,0.33139230038161144,257,3.544866773188823,4,0.790005329110341,14.104902440387615,50.0,0.5,gap_midpoint,False,0.2820980488077523,1.0,217.61856742864256,16,89,zero_kernel_only_proxy
-2.7425287103289433,0.1406368457240162,32.41747790388908,5.353423571156191,2.5948345848031136,257,3.5552560740817034,4,6.464243083120734,14.06368457240162,50.0,0.5,gap_midpoint,False,0.2812736914480324,1.0,219.8912575941677,16,90,zero_kernel_only_proxy
-5.655648240676372,0.14042517747286812,1315.9261750220312,138.62747997580303,64.50631809009005,257,3.560615047800856,4,38.83187370607897,14.042517747286812,50.0,0.5,gap_midpoint,False,0.28085035494573624,1.0,221.07281219700366,16,91,zero_kernel_only_proxy
