center_type,m0,Q,c_I,kappa,W_factor,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,status
small_gap_mid,750.8111657143875,6.625141893292165,0.2,1.0,10.0,96,6,2,78340.02200038263,290.11856473797144,-5.959586446123599,290.1265408176928,301.7089697424459,0.0004888821253117121,1.6903547535063155e-14,healthy
small_gap_mid,750.8111657143875,6.625141893292165,0.2,1.0,25.0,96,6,6,78386.85202160047,290.20223819295086,-5.959902491040032,290.2101874690568,301.789349800625,4.6172199149043445e-05,1.6893448985761728e-14,healthy
small_gap_mid,750.8111657143875,6.625141893292165,0.5,0.5,10.0,96,6,2,958738.614995789,1266.5780990398732,-7.284139428832338,156383.60639093362,156395.4987172014,6.998557798609676e-05,1.540889676160654e-13,healthy
small_gap_mid,750.8111657143875,6.625141893292165,0.5,0.5,25.0,96,6,6,958820.4942088809,1266.6229429534444,-7.284184592875475,156383.6063871327,156395.4989271117,6.526556514598376e-06,1.540758090702367e-13,healthy
small_gap_mid,750.8111657143875,6.625141893292165,0.5,1.0,10.0,96,6,2,51549.096778062645,290.0766064861845,-5.738247314425858,12231.93878321211,12356.45806681174,0.0005744505218061317,2.290802350749454e-13,healthy
small_gap_mid,750.8111657143875,6.625141893292165,0.5,1.0,25.0,96,6,6,51585.300951421406,290.16032028596175,-5.738618612785001,12231.938790305669,12356.459973370556,5.41621561055824e-05,2.2906050652997683e-13,healthy
small_gap_q25,750.7335580382559,6.625038934255557,0.2,0.5,10.0,96,6,2,1237586.7108637579,1270.9421183068712,-7.41921753693526,11779.839911813497,12392.423038820167,5.785164458592088e-05,2.4419636443235256e-13,healthy
small_gap_q25,750.7335580382559,6.625038934255557,0.2,0.5,25.0,96,6,6,1237675.5582443443,1270.9826727678428,-7.41925550293927,11779.839911824516,12392.427187456899,5.8518967289567125e-06,2.4417883463047194e-13,healthy
small_gap_q25,750.7335580382559,6.625038934255557,0.2,1.0,10.0,96,6,2,17315.46838144338,236.85979011074699,-5.1613418596338265,229.3626542747248,335.65452101792016,0.0001303588635355423,5.428982358683545e-13,healthy
small_gap_q25,750.7335580382559,6.625038934255557,0.2,1.0,25.0,96,6,6,17318.198943442454,236.78030908455827,-5.1614252517595345,229.36361409039068,335.6629906393349,1.1791160707999015e-05,5.428126370542361e-13,healthy
small_gap_q25,750.7335580382559,6.625038934255557,0.5,0.5,10.0,96,6,2,2989060.5135404128,4588.406076236579,-7.885564910890593,2328314.8885815735,2378812.662389091,1.2094487157044303e-06,6.521307079064065e-13,healthy
small_gap_q25,750.7335580382559,6.625038934255557,0.5,0.5,25.0,96,6,6,2989064.076558335,4588.366346468617,-7.885565541302674,2328314.8885845174,2378812.6624104003,1.5040108349286476e-08,6.519741422294182e-13,healthy
small_gap_q25,750.7335580382559,6.625038934255557,0.5,1.0,10.0,96,6,2,82486.59660785926,532.4232385016488,-5.986912596557871,34819.901137302004,35429.18295236854,5.203241525852242e-05,4.722643273977243e-13,healthy
small_gap_q25,750.7335580382559,6.625038934255557,0.5,1.0,25.0,96,6,6,82480.85990268536,532.3445449898858,-5.986875814524415,34819.90113178803,35429.1830378114,7.0477271432607085e-06,4.721207465229383e-13,healthy
small_gap_q75,750.8887733905192,6.6252448417293,0.2,0.5,10.0,96,6,2,1237817.1116592945,1271.0446185709488,-7.419194037373274,11777.989876438789,12390.649693264982,6.610090830198937e-05,1.681594101955001e-13,healthy
small_gap_q75,750.8887733905192,6.6252448417293,0.2,0.5,25.0,96,6,6,1237915.3306458346,1271.08957007656,-7.419235999364176,11777.9898764598,12390.654289584652,5.634225455958902e-06,1.6852223375002112e-13,healthy
small_gap_q75,750.8887733905192,6.6252448417293,0.2,1.0,10.0,96,6,2,17317.767367214517,236.86467653011317,-5.161327236249218,229.37426898968627,335.6671626648175,0.0001159151631426174,6.08998858693829e-13,healthy
small_gap_q75,750.8887733905192,6.6252448417293,0.2,1.0,25.0,96,6,6,17320.269565066814,236.77326166732897,-5.1614036431740695,229.37185579952668,335.6741525838971,1.2182127212963328e-05,6.087008370941088e-13,healthy
small_gap_q75,750.8887733905192,6.6252448417293,0.5,0.5,10.0,96,6,2,2989263.2737955707,4588.786533344692,-7.885471172230208,2328581.621519937,2379072.06065441,1.0707626196419828e-06,5.1406721568701474e-15,healthy
small_gap_q75,750.8887733905192,6.6252448417293,0.5,0.5,25.0,96,6,6,2989260.5832100166,4588.73796902412,-7.885470696218994,2328581.621525168,2379072.060679474,7.367949854260343e-08,5.1406767839067874e-15,healthy
small_gap_q75,750.8887733905192,6.6252448417293,0.5,1.0,10.0,96,6,2,82498.93035967728,532.4743188483981,-5.9868932625888736,34818.68718169593,35428.15148621912,9.725531151293539e-05,2.0425862203281458e-13,healthy
small_gap_q75,750.8887733905192,6.6252448417293,0.5,1.0,25.0,96,6,6,82489.77572405891,532.3783948529831,-5.986834574334668,34818.68717200767,35428.15144843564,5.851661360922416e-06,2.042812904573582e-13,healthy
small_gap_mid,630.6398341827448,6.45148070813061,0.2,0.5,10.0,96,6,2,436028.77010385616,720.9437264530517,-6.965293215152627,629.1745785597354,701.017879862171,0.0002898522048327504,2.0611628087978514e-13,healthy
small_gap_mid,630.6398341827448,6.45148070813061,0.2,0.5,25.0,96,6,6,436159.9335211055,721.0483080886663,-6.9654545448101315,629.2738645219257,701.1071570951545,7.583599790460349e-06,2.0632120664028416e-13,healthy
small_gap_mid,630.6398341827448,6.45148070813061,0.2,1.0,10.0,96,6,2,66255.06099536302,264.94725174901424,-5.9546261559151334,264.9530779891653,272.0383001594413,0.0014562797411376705,1.2848634173303837e-13,healthy
small_gap_mid,630.6398341827448,6.45148070813061,0.2,1.0,25.0,96,6,6,66355.36972038266,265.14205792634084,-5.9554376270025084,265.14772828345286,272.2276868208697,3.881356495024579e-05,1.276342020035027e-13,healthy
small_gap_mid,630.6398341827448,6.45148070813061,0.5,0.5,10.0,96,6,2,681406.8578006307,1118.9651637115496,-7.204765953295692,103059.35276264751,103081.20990913952,0.00022948194122839863,1.1395397444221855e-13,healthy
small_gap_mid,630.6398341827448,6.45148070813061,0.5,0.5,25.0,96,6,6,681569.1022145589,1119.0790213561636,-7.204893654061656,103059.3527023996,103081.21050433656,5.967616563641717e-06,1.139268482187174e-13,healthy
small_gap_mid,630.6398341827448,6.45148070813061,0.5,1.0,10.0,96,6,2,46403.663193756925,264.91659247311253,-5.7635991739191805,8248.985797926463,8390.928583988754,0.0016908446947778058,1.4848680872155143e-13,healthy
small_gap_mid,630.6398341827448,6.45148070813061,0.5,1.0,25.0,96,6,6,46485.243731649716,265.11163307572025,-5.764541355840863,8248.98590348681,8390.93447050093,4.4907361376116066e-05,1.4838273965096137e-13,healthy
small_gap_q25,630.5568608105184,6.451349752340285,0.2,0.5,10.0,96,6,2,1050768.1370323445,1157.0534625076596,-7.437167328054689,7578.420444461004,8230.880408560046,0.00016288867100782914,2.293367182433721e-13,healthy
small_gap_q25,630.5568608105184,6.451349752340285,0.2,0.5,25.0,96,6,6,1050947.386001378,1157.1410345705797,-7.4372588234857036,7578.420444614303,8230.892615071652,4.886145248942521e-06,2.2929760270737645e-13,healthy
small_gap_q25,630.5568608105184,6.451349752340285,0.2,1.0,10.0,96,6,2,13854.158587572154,197.49007075096193,-5.115268511685296,199.59320771348416,289.2637610065025,0.0007209953350491682,7.984082535972158e-13,healthy
small_gap_q25,630.5568608105184,6.451349752340285,0.2,1.0,25.0,96,6,6,13864.550827415587,197.32324883591977,-5.115670721670151,199.5998989889238,289.29411832246296,1.985469281338541e-05,7.97547408625026e-13,healthy
small_gap_q25,630.5568608105184,6.451349752340285,0.5,0.5,10.0,96,6,2,2158307.4599714773,4134.044614282134,-7.823267729571601,2136355.011690189,2170143.7508000303,1.2616612827721082e-05,1.2841617950432014e-12,healthy
