m0,c_I,Q,eta_abs,kappa,W_factor,cutoff_mode,ngrid,n_local_zeros,E_I_zeta,B_eff_zeta,E_I_proxy,B_eff_proxy,D_completed,ratio_E_zeta_proxy,group
1006.7750623057208,0.2,5.0766304272817635,0.0984905257851753,0.5,40.0,hard,201,12,0.3458395503823781,0.653544957895573,0.34472359757091975,0.6555343188754291,0.0001345390985134084,1.0032372393979463,B_top50_Beff
1006.7750623057208,0.5,5.0766304272817635,0.0984905257851753,0.5,40.0,hard,201,12,0.35682540224178966,0.6342966914898104,0.3559316274136333,0.6358403727164351,2.2235061811233744e-06,1.0025110857235444,B_top50_Beff
1006.7750623057208,1.0,5.0766304272817635,0.0984905257851753,0.5,40.0,hard,201,12,0.40170234816605394,0.5613794730537293,0.4008712080960832,0.5626543266532986,3.0755325173143777e-06,1.0020733344106159,B_top50_Beff
1006.8455026451304,0.1,5.076700391147512,0.09848916845119994,0.5,40.0,hard,201,13,0.3682965186934599,0.6148153906985537,0.365288274133723,0.6198635419132471,0.007051231470096729,1.0082352617720098,B_top50_Beff
1006.8455026451304,0.2,5.076700391147512,0.09848916845119994,0.5,40.0,hard,201,13,0.3676760304442574,0.6158532515945424,0.36710306332558534,0.6168131827722122,9.284930296120631e-05,1.0015607799986237,B_top50_Beff
1006.8455026451304,0.5,5.076700391147512,0.09848916845119994,0.5,40.0,hard,201,13,0.3809340903737578,0.5940492203081629,0.38020217830795133,0.5952329804822386,1.6721249836870038e-06,1.0019250601589496,B_top50_Beff
1006.8455026451304,1.0,5.076700391147512,0.09848916845119994,0.5,40.0,hard,201,13,0.4338209796932365,0.514029112058197,0.4331963443624656,0.5149159942735414,3.201909141945452e-06,1.0014419219804132,B_top50_Beff
1006.847389558233,0.1,5.0767022652298115,0.09848913209358084,0.5,40.0,hard,201,13,0.3697152215846682,0.612448809786913,0.3664691313440808,0.6178768595840225,0.008142123080799361,1.0088577453404652,B_top50_Beff
1006.847389558233,0.2,5.0767022652298115,0.09848913209358084,0.5,40.0,hard,201,13,0.3689449293933218,0.613732552479789,0.3682981605734415,0.6148125070280126,0.0001113793415484944,1.0017561011406446,B_top50_Beff
1006.847389558233,0.5,5.0767022652298115,0.09848913209358084,0.5,40.0,hard,201,13,0.3822428757095055,0.5919379766355662,0.38150151118689923,0.5931329298632124,1.6346166871294347e-06,1.001943280697106,B_top50_Beff
1006.847389558233,1.0,5.0767022652298115,0.09848913209358084,0.5,40.0,hard,201,13,0.4355684972512435,0.5115545676339942,0.4349416296776189,0.512441047864888,3.1946938279091364e-06,1.0014412682779739,B_top50_Beff
1967.253031834377,0.1,5.746516382158138,0.08700923598728559,0.5,40.0,hard,201,13,0.45550993574486875,0.44969720161007287,0.4298431707687626,0.4828650565218319,0.05806792927212924,1.05971192919083,B_top50_Beff
1967.253031834377,0.2,5.746516382158138,0.08700923598728559,0.5,40.0,hard,201,13,0.43389869015468335,0.47749465495907195,0.43153371072387076,0.4806202762289144,0.0007550082782950598,1.0054804048259531,B_top50_Beff
1967.253031834377,0.5,5.746516382158138,0.08700923598728559,0.5,40.0,hard,201,13,0.44481730313997336,0.46328176643889335,0.4436644164124329,0.4647659220622162,6.271672126358774e-06,1.0025985557662318,B_top50_Beff
1967.253031834377,1.0,5.746516382158138,0.08700923598728559,0.5,40.0,hard,201,13,0.49268521378700814,0.40483090497774743,0.4915675240346802,0.40612974564948395,2.9473271532325472e-06,1.00227372578065,B_top50_Beff
1967.294630296748,0.1,5.746537527390548,0.08700891582396846,0.5,40.0,hard,201,13,0.4518686678253853,0.4542861906943742,0.42297459874236665,0.49207616383174163,0.05941128330204582,1.0683115940506347,B_top50_Beff
1967.294630296748,0.2,5.746537527390548,0.08700891582396846,0.5,40.0,hard,201,13,0.42702192260847777,0.4866299557123102,0.4245900977927219,0.4898960733658271,0.0008968592805695991,1.0057274647439918,B_top50_Beff
1967.294630296748,0.5,5.746537527390548,0.08700891582396846,0.5,40.0,hard,201,13,0.43737018930873567,0.472936353470394,0.4361740514335843,0.4745025157157879,5.9497532366883536e-06,1.0027423407495701,B_top50_Beff
1967.294630296748,1.0,5.746537527390548,0.08700891582396846,0.5,40.0,hard,201,13,0.4829170939157717,0.41628235570926087,0.4817827957281249,0.417627210365461,2.7715649885519024e-06,1.0023543766977658,B_top50_Beff
2030.49464222638,0.1,5.778157642066089,0.0865327723771163,0.5,40.0,hard,201,14,0.447005254943794,0.4590341866443014,0.4173647734750537,0.4981484593953994,0.06881937442955044,1.0710181676856634,B_top50_Beff
2030.49464222638,0.2,5.778157642066089,0.0865327723771163,0.5,40.0,hard,201,14,0.41978804226314603,0.49484797678607445,0.41908301311452906,0.495806254426504,0.0009625232011483377,1.001682313829371,B_top50_Beff
2030.49464222638,0.5,5.778157642066089,0.0865327723771163,0.5,40.0,hard,201,14,0.43239827589392305,0.47797469083283667,0.43142461596560366,0.4792598655141357,6.174678489684808e-06,1.0022568483398662,B_top50_Beff
2030.49464222638,1.0,5.778157642066089,0.0865327723771163,0.5,40.0,hard,201,14,0.48118969988256904,0.4170229767691526,0.4803590694116944,0.4180079309769768,2.547801438674153e-06,1.0017291866101163,B_top50_Beff
2030.5680151207928,0.1,5.778193776891189,0.0865322312310911,0.5,40.0,hard,201,13,0.4240648275633546,0.489067484244017,0.3938781981663548,0.5311659917425476,0.06579649919443961,1.0766395031193132,B_top50_Beff
2030.5680151207928,0.2,5.778193776891189,0.0865322312310911,0.5,40.0,hard,201,13,0.3967538073505627,0.5270189803624018,0.39535240316879655,0.5290362236774863,0.0011805566963590055,1.0035446962520873,B_top50_Beff
2030.5680151207928,0.5,5.778193776891189,0.0865322312310911,0.5,40.0,hard,201,13,0.4070915653850334,0.512354872983119,0.40591853626373703,0.5139999680295908,6.152471545386244e-06,1.0028898141289468,B_top50_Beff
2030.5680151207928,1.0,5.778193776891189,0.0865322312310911,0.5,40.0,hard,201,13,0.44855155682598874,0.45706385066828614,0.4474449330263345,0.45847207472730744,2.907821469819696e-06,1.0024732066852775,B_top50_Beff
960.4618473895582,0.1,5.029537193396139,0.09941272542064265,0.5,40.0,hard,201,13,0.8321442895530349,0.11375363492527943,0.8306303117594698,0.11488097650524803,0.0016336844538002594,1.0018226854620296,C_random_healthy
960.4618473895582,0.2,5.029537193396139,0.09941272542064265,0.5,40.0,hard,201,13,0.8379037641382666,0.10948366414900922,0.8368031401593595,0.11029737387037973,2.002531887872231e-05,1.001315272285782,C_random_healthy
