center_type,m0,Q,c_I,Delta,kappa,eps,W_abs,W_factor_equiv,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,tail_edge,status
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,100.0,285.4378660484831,1025,12,84,0.0004990417634440968,0.02236307199902496,7.2486918229447435,2.427440247815593e+19,6.732508192943288e+18,2.005534444552387e-06,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,100.0,285.4378660484831,257,16,84,0.0004990417634440968,0.02236307079823022,7.2486918229447435,1.4127174210217097e+31,3.426344942091316e+30,2.005534444769643e-06,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,100.0,285.4378660484831,513,16,84,0.0004990417634440968,0.02236307175755239,7.2486918229447435,1.4127174210217097e+31,3.426344942091316e+30,2.005534444552387e-06,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,100.0,285.4378660484831,1025,16,84,0.0004990417634440968,0.02236307199902496,7.2486918229447435,1.4127174210217097e+31,3.426344942091316e+30,2.005534444552387e-06,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,200.0,570.8757320969662,257,4,143,0.00049904276429155,0.022363093205626572,7.248689910823422,0.022337873580647052,0.009989805893233932,2.7927137523645475e-07,2.172563655991801e-16,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,200.0,570.8757320969662,513,4,143,0.0004990427642915499,0.022363094164948943,7.248689910823422,0.022337873580647052,0.009989805893233932,2.79271375453711e-07,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,200.0,570.8757320969662,1025,4,143,0.0004990427642915499,0.02236309440642157,7.248689910823422,0.022337873580647052,0.009989805893233932,2.79271375453711e-07,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,200.0,570.8757320969662,257,8,143,0.00049904276429155,0.022363093205626572,7.248689910823422,213115.33827652302,71038.51755168143,2.7927137523645475e-07,2.172563655991801e-16,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,200.0,570.8757320969662,513,8,143,0.0004990427642915499,0.022363094164948943,7.248689910823422,213115.33827652302,71038.51755168143,2.79271375453711e-07,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,200.0,570.8757320969662,1025,8,143,0.0004990427642915499,0.02236309440642157,7.248689910823422,213115.33827652302,71038.51755168143,2.79271375453711e-07,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,200.0,570.8757320969662,257,12,143,0.00049904276429155,0.022363093205626572,7.248689910823422,9.977217663528272e+18,2.767182649490148e+18,2.7927137523645475e-07,2.172563655991801e-16,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,200.0,570.8757320969662,513,12,143,0.0004990427642915499,0.022363094164948943,7.248689910823422,9.977217663528272e+18,2.767182649490148e+18,2.79271375453711e-07,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,200.0,570.8757320969662,1025,12,143,0.0004990427642915499,0.02236309440642157,7.248689910823422,9.977217663528272e+18,2.767182649490148e+18,2.79271375453711e-07,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,200.0,570.8757320969662,257,16,143,0.00049904276429155,0.022363093205626572,7.248689910823422,3.2698699148533045e+30,7.93067752360271e+29,2.7927137523645475e-07,2.172563655991801e-16,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,200.0,570.8757320969662,513,16,143,0.0004990427642915499,0.022363094164948943,7.248689910823422,3.2698699148533045e+30,7.93067752360271e+29,2.79271375453711e-07,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.0625,0.02189618387540217,200.0,570.8757320969662,1025,16,143,0.0004990427642915499,0.02236309440642157,7.248689910823422,3.2698699148533045e+30,7.93067752360271e+29,2.79271375453711e-07,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.125,0.04379236775080434,50.0,142.71893302424155,513,8,46,0.0019914784990696516,0.04467358395631752,5.9292111588496725,3007929.6643873733,1002643.2258222512,2.0723391202857117e-05,0.0,True,reject_tail_edge
watch_center,109.099,2.854378660484831,0.025,0.00875847355016087,0.125,0.04379236775080434,50.0,142.71893302424155,1025,8,46,0.0019914784990696516,0.04467358443854247,5.9292111588496725,3007929.6643873733,1002643.2258222512,2.0723391202857117e-05,0.0,True,reject_tail_edge
