N,smoothing,level,R,rank,t0,source_objective,J_max,E_cI_0.1,S_cI_0.1,Beff_cI_0.1,E_cI_0.2,S_cI_0.2,Beff_cI_0.2,E_cI_0.5,S_cI_0.5,Beff_cI_0.5,E_cI_1.0,S_cI_1.0,Beff_cI_1.0
200,cos,1,8,3,2807.077928853017,0.0018051011894032218,0.03532915206674516,0.0001152356376407655,0.010757045621843405,4.376914372473122,0.00011509238101007851,0.010798913237169668,4.377514756455146,0.00011421062605504748,0.011408398675925989,4.381226700145907,0.00011611076065414664,0.016080131066760723,4.373262887534141
200,cos,2,8,1,2113.994793702702,0.0009121392958385763,0.016468765377052493,0.00019578246935675401,0.02714411699623529,4.194726790954951,0.000501830456154678,0.04401898661827239,3.7323132797673946,0.002426334892599914,0.08693088013416611,2.958130542393531,0.006703106951516499,0.1191463289975665,2.4589054678384503
200,cos,2,8,2,3805.9039677795045,0.0010746391737698094,0.02113421798048713,0.00014094690268144804,0.014289592685197503,4.203380007397472,0.00020015397943960755,0.02142300645408936,4.037132137830075,0.001011034738749823,0.06513170508934248,3.269355480176355,0.00872792711230114,0.1950969755008452,2.2475351573787603
200,cos,2,8,3,2031.6388017331403,0.001433373922883001,0.026589036920985822,0.0007302550196929211,0.03122281382714302,3.557115044929028,0.0008024303163769368,0.037893332235626354,3.5106934231667606,0.0014021668291394661,0.06893210944647282,3.2357976741555845,0.004693120061726977,0.14704386134814312,2.6407816163979083
200,cos,3,8,1,2113.995522236109,0.0008904989463476557,0.01629971980977897,0.00019320244712278052,0.02699367676266204,4.201243714621732,0.0004984329558324253,0.04381769502140943,3.735650522627056,0.0024180110728932416,0.08645973307404178,2.959818738416881,0.006686533520995597,0.12011541342849039,2.4601215868002715
200,cos,3,8,2,3805.903965716283,0.0010747027672659306,0.021133207474812083,0.0001410745056427353,0.014294598417217728,4.202951040006985,0.0002003029193802712,0.02142763592820991,4.036779522680243,0.001011333165335784,0.06513539124131096,3.269215578557813,0.008728754683908609,0.19510016103552344,2.247490211599354
200,cos,3,8,3,2031.6389886110123,0.0014636832845207233,0.02710570738521124,0.0007583007967219442,0.03171023068024736,3.538553349391711,0.0008313882911777403,0.03835284482157143,3.4932322366795354,0.0014376011572646268,0.06931946302767666,3.223505520941851,0.004752619254487321,0.14736627837314756,2.6345765653099344
200,sharp,1,8,1,3381.350100325709,0.001942574991211292,0.026592392886872655,0.0007020238766016984,0.027770843883973124,3.466010379634976,0.0007032420931627279,0.029061821550423767,3.4651828243600127,0.0007127182809858128,0.03322603161277081,3.458794014296447,0.0007619861006438499,0.04237161557860006,3.4268895864690907
200,sharp,1,8,2,3106.270173344903,0.003230130836499073,0.030359728746170513,1.5930028248422539e-06,0.002532350494598887,6.4041284140304535,6.0833505827956135e-06,0.004988183636232204,5.7613429806586245,3.708931191232768e-05,0.013389209609052797,4.894128942900417,0.00014310538033889718,0.02870391159335915,4.246394002201824
200,sharp,1,8,3,3268.811672480377,0.0033238328282840404,0.03836356989617707,0.00022991125556842592,0.018732580601445507,4.006802639818366,0.0002400729342130325,0.02209280570110078,3.986118047526237,0.0003110761375982949,0.03006107588519282,3.8622024475304007,0.0005640857032544642,0.03536160488649712,3.577555186484224
200,sharp,2,8,1,3105.6383747282825,0.0009671482425282627,0.017359937101171976,1.221751865351769e-05,0.00671919259138655,5.426896981308726,3.1951032126908806e-05,0.010600761147542817,4.965726237673095,0.00016387211790180333,0.023986635822069332,4.181441072111756,0.0005555160055428483,0.050298678036848336,3.5957938598072703
200,sharp,2,8,2,2202.161217659602,0.002554313536373641,0.03905199193914782,0.001530746932986015,0.03927863670313822,3.176118128570601,0.001547822212079937,0.03999209348636294,3.1706826097581997,0.0016677429660431752,0.045950700261197804,3.134118403582338,0.00210379180150479,0.06976139560156976,3.020308242078543
200,sharp,2,8,3,3591.2590699974244,0.0032395697455387482,0.029591167766182598,0.000509352925084598,0.03461376652130157,3.6064327269051435,0.0007209731911107412,0.0507524828210423,3.4411685514606587,0.0022955896518899095,0.11159698008749443,2.8903163278186046,0.009088891549810121,0.23618972227214802,2.235813868272199
200,sharp,3,8,1,3105.6387021106325,0.0009675956470173182,0.017385687330851152,1.2186463963823759e-05,0.006716543928146068,5.428117859108313,3.202387003080366e-05,0.010611212112181136,4.96463384688722,0.0001645869268541199,0.024027609586249655,4.179353062331513,0.0005574766990553888,0.05030980903369399,3.5941036474603685
200,sharp,3,8,2,2202.1612158480993,0.00264274428983882,0.040165300001544356,0.0016191022315373178,0.04039138625095203,3.1486218173261955,0.0016366607371134639,0.04110654960532887,3.143336675666922,0.0017598422489942935,0.04706692470928876,3.1077799550560194,0.0022058413515976035,0.07088053353590992,2.997098536548427
200,sharp,3,8,3,3591.258965950131,0.0032498791899892836,0.02963549852747734,0.0005154731035604496,0.03473875909360815,3.600751769522263,0.0007269906256765592,0.05085805666684558,3.4372152637418196,0.0023013163958808557,0.11165797599532834,2.8891312592618217,0.009099030809801264,0.23623160285459455,2.2352835665678032
350,exp,1,8,1,3828.426177625916,0.003532890249055908,0.0319683245803526,0.0010222515625160611,0.0350041836826846,3.2630186258547083,0.0010231663882813485,0.03775742328845912,3.262594734266719,0.0010329451356079354,0.044431409501779394,3.2580872078932495,0.001113527616253444,0.05119143029565658,3.222489842871453
350,exp,1,8,2,2839.5035239789013,0.005324020863097913,0.04324752679222431,0.0009768987120471833,0.03451596518711322,3.342967053310411,0.000984524997580653,0.03773872044357592,3.339216442265111,0.0010432592052279687,0.04736792653515325,3.3112685491797196,0.0013326740000293483,0.06572029522753228,3.1931803099303098
350,exp,1,8,3,2381.6312117157136,0.03160179798094862,0.1572166784424542,0.0012420988566085216,0.04964384522013765,3.26231500545474,0.0014758449788583802,0.06474730835498237,3.1782440426495078,0.003089924783323903,0.10708044059815199,2.817969946648739,0.008544452900141976,0.16559368209053693,2.3220440774929387
350,exp,2,8,1,3828.4324361940107,0.003732890878111437,0.04965115830320163,0.0002369079895027234,0.022450702837073424,3.9558740724912953,0.0002926101165016242,0.02965279910502541,3.855805192799725,0.0006955268493418363,0.048844819026630605,3.44550633149787,0.0022930148337567944,0.08881370664115362,2.8801896619504226
350,exp,2,8,2,1641.4093019237796,0.006927180756973947,0.05860015538816768,5.9388475081073305e-05,0.012983901317528256,4.861020954275706,9.690792651266467e-05,0.019151562875605807,4.616426087965589,0.00034289423919050464,0.037030440335291855,3.9852039820767944,0.0010223550830125905,0.06183909224187859,3.439508785708558
350,exp,2,8,3,1128.8348315380058,0.008739176149750477,0.0556877779778943,0.0008124401829337528,0.04549660975282533,3.64889055155756,0.0011841089070690094,0.06496460334800468,3.455712843311971,0.003605741227538395,0.12163450536673333,2.884678875693579,0.010019710042469331,0.19560233424258006,2.3605722699068
