zone,family,center,cI,Q,zero_count_zone,zero_min,zero_max,E,S,Beff,zeros_used,J_max,J_0,J_1,J_2,J_3,J_4,tail_drift,reg_drift,classification
2118.308694211159,zero_ordinate,2095.138256660295,0.1,7.6473748238113535,101,2064.304867699634,2172.250962827517,43976947.89741788,7154.638225310556,-8.650954173769465,66,41217187.227414064,-7154.638225309187,-0.5153233594253962,343478.0693065552,-0.43460761148530197,-41217187.227414064,7.443294904557796e-08,43.411796109797386,healthy_proxy
2118.308694211159,zero_ordinate,2095.138256660295,0.2,7.6473748238113535,101,2064.304867699634,2172.250962827517,30505691.589829396,7154.638225310556,-8.47116698130699,66,41217187.227414064,-7154.638225309187,-0.5153233594253962,343478.0693065552,-0.43460761148530197,-41217187.227414064,8.624700819699214e-08,32.365915367356,healthy_proxy
2118.308694211159,zero_ordinate,2095.138256660295,0.5,7.6473748238113535,101,2064.304867699634,2172.250962827517,13297120.36074558,7154.638225310556,-8.062996949038785,66,41217187.227414064,-7154.638225309187,-0.5153233594253962,343478.0693065552,-0.43460761148530197,-41217187.227414064,6.652948302578926e-08,34.90504522983935,healthy_proxy
2118.308694211159,zero_ordinate,2095.138256660295,1.0,7.6473748238113535,101,2064.304867699634,2172.250962827517,7459477.649618489,7154.638225310556,-7.7788479214092145,66,41217187.227414064,-7154.638225309187,-0.5153233594253962,343478.0693065552,-0.43460761148530197,-41217187.227414064,1.8882168880339392e-08,31.34166830993975,healthy_proxy
2118.308694211159,zero_ordinate,2096.346529979252,0.1,7.647951360964143,101,2064.304867699634,2172.250962827517,44003706.05556178,7156.77449124545,-8.650932595856762,67,41226510.51472409,-7156.774491244083,0.11278766185903055,343555.40022306744,0.06094450983259167,-41226510.51472409,6.53879261228845e-08,43.405383226445956,healthy_proxy
2118.308694211159,zero_ordinate,2096.346529979252,0.2,7.647951360964143,101,2064.304867699634,2172.250962827517,30525021.72537077,7156.77449124545,-8.47116444354163,67,41226510.51472409,-7156.774491244083,0.11278766185903055,343555.40022306744,0.06094450983259167,-41226510.51472409,7.576588308098367e-08,32.36024172213548,healthy_proxy
2118.308694211159,zero_ordinate,2096.346529979252,0.5,7.647951360964143,101,2064.304867699634,2172.250962827517,13304965.622973196,7156.77449124545,-8.062988089110128,67,41226510.51472409,-7156.774491244083,0.11278766185903055,343555.40022306744,0.06094450983259167,-41226510.51472409,5.8458945242472836e-08,34.90018992647573,healthy_proxy
2118.308694211159,zero_ordinate,2096.346529979252,1.0,7.647951360964143,101,2064.304867699634,2172.250962827517,7463015.829699445,7156.77449124545,-7.778792761601125,67,41226510.51472409,-7156.774491244083,0.11278766185903055,343555.40022306744,0.06094450983259167,-41226510.51472409,1.662372028390673e-08,31.340954343376392,healthy_proxy
2118.308694211159,zero_ordinate,2097.371606357193,0.1,7.648440223765615,101,2064.304867699634,2172.250962827517,43979546.64314301,7155.050689721368,-8.650390871802871,68,41234410.326467045,-7155.05068972001,2.752094310540625,343624.4500094869,4.130528664524237,-41234410.326467045,6.781665616649793e-08,43.44371752135286,healthy_proxy
2118.308694211159,zero_ordinate,2097.371606357193,0.2,7.648440223765615,101,2064.304867699634,2172.250962827517,30503630.30528385,7155.050689721368,-8.470553731512469,68,41234410.326467045,-7155.05068972001,2.752094310540625,343624.4500094869,4.130528664524237,-41234410.326467045,7.858281092103583e-08,32.394206781108004,healthy_proxy
2118.308694211159,zero_ordinate,2097.371606357193,0.5,7.648440223765615,101,2064.304867699634,2172.250962827517,13299211.313368673,7155.050689721368,-8.062522145675578,68,41234410.326467045,-7155.05068972001,2.752094310540625,343624.4500094869,4.130528664524237,-41234410.326467045,6.054195762407978e-08,34.92903936588076,healthy_proxy
2118.308694211159,zero_ordinate,2097.371606357193,1.0,7.648440223765615,101,2064.304867699634,2172.250962827517,7465336.585521132,7155.050689721368,-7.778701195608,68,41234410.326467045,-7155.05068972001,2.752094310540625,343624.4500094869,4.130528664524237,-41234410.326467045,1.701076117783633e-08,31.343406207171572,healthy_proxy
2118.308694211159,zero_ordinate,2097.951922199887,0.1,7.64871687267836,101,2064.304867699634,2172.250962827517,43991890.838391215,7156.038508002768,-8.650375023752504,69,41238884.86640867,-7156.038508001398,-2.900348104935851,343661.6512330544,-4.206203983129271,-41238884.86640867,6.68453416733712e-08,43.441097380098206,healthy_proxy
