B_eff,Delta,E_I,J_max,J_rms,Q,R_jet,S_I,W_abs,W_factor_equiv,c_I,center_type,eps,kappa,local_zero_count,m0,nquad,quad_drift_rel,status,tail_drift_rel,tail_edge
7.2474011074003535,0.03503389420064348,0.0004997178099148881,941542.313822719,313847.4381243704,2.854378660484831,8,0.022483078383086285,20.0,57.087573209696615,0.1,watch_center,0.02189618387540217,0.0625,17,109.099,513,0.0,watch,0.00046661896656194325,False
7.2474011074003535,0.03503389420064348,0.000499717809914888,941542.313822719,313847.4381243704,2.854378660484831,8,0.022483080174298176,20.0,57.087573209696615,0.1,watch_center,0.02189618387540217,0.0625,17,109.099,1025,2.1696288404653131e-16,watch,0.0004666189665617266,False
7.2474011074003535,0.03503389420064348,0.0004997178099148881,1.8655106867038642e+19,5.173995726865305e+18,2.854378660484831,12,0.022483078383086285,20.0,57.087573209696615,0.1,watch_center,0.02189618387540217,0.0625,17,109.099,513,0.0,watch,0.00046661896656194325,False
7.2474011074003535,0.03503389420064348,0.000499717809914888,1.8655106867038642e+19,5.173995726865305e+18,2.854378660484831,12,0.022483080174298176,20.0,57.087573209696615,0.1,watch_center,0.02189618387540217,0.0625,17,109.099,1025,2.1696288404653131e-16,watch,0.0004666189665617266,False
7.2474011074003535,0.03503389420064348,0.0004997178099148881,1.5482801727589882e+31,3.7551310100112155e+30,2.854378660484831,16,0.022483078383086285,20.0,57.087573209696615,0.1,watch_center,0.02189618387540217,0.0625,17,109.099,513,0.0,watch,0.00046661896656194325,False
7.2474011074003535,0.03503389420064348,0.000499717809914888,1.5482801727589882e+31,3.7551310100112155e+30,2.854378660484831,16,0.022483080174298176,20.0,57.087573209696615,0.1,watch_center,0.02189618387540217,0.0625,17,109.099,1025,2.1696288404653131e-16,watch,0.0004666189665617266,False
7.247401107400353,0.03503389420064348,0.0004997178099148882,0.022332082803812096,0.009987459898788945,2.854378660484831,4,0.022483071267009304,20.0,57.087573209696615,0.1,watch_center,0.02189618387540217,0.0625,17,109.099,257,2.1696288404653126e-16,watch,0.0004666189665617264,False
7.247401107400353,0.03503389420064348,0.0004997178099148882,941542.313822719,313847.4381243704,2.854378660484831,8,0.022483071267009304,20.0,57.087573209696615,0.1,watch_center,0.02189618387540217,0.0625,17,109.099,257,2.1696288404653126e-16,watch,0.0004666189665617264,False
7.247401107400353,0.03503389420064348,0.0004997178099148882,1.8655106867038642e+19,5.173995726865305e+18,2.854378660484831,12,0.022483071267009304,20.0,57.087573209696615,0.1,watch_center,0.02189618387540217,0.0625,17,109.099,257,2.1696288404653126e-16,watch,0.0004666189665617264,False
7.247401107400353,0.03503389420064348,0.0004997178099148882,1.5482801727589882e+31,3.7551310100112155e+30,2.854378660484831,16,0.022483071267009304,20.0,57.087573209696615,0.1,watch_center,0.02189618387540217,0.0625,17,109.099,257,2.1696288404653126e-16,watch,0.0004666189665617264,False
7.2416823638912025,0.07006778840128695,0.0005027241886494884,0.022332082803812117,0.009990347798691573,2.854378660484831,4,0.02276882715238007,20.0,57.087573209696615,0.2,watch_center,0.02189618387540217,0.0625,17,109.099,1025,1.5096578558884593e-15,watch,0.0004652265272166218,False
7.2416823638912025,0.07006778840128695,0.0005027241886494884,390501.675159047,130169.81251458768,2.854378660484831,8,0.02276882715238007,20.0,57.087573209696615,0.2,watch_center,0.02189618387540217,0.0625,17,109.099,1025,1.5096578558884593e-15,watch,0.0004652265272166218,False
7.2416823638912025,0.07006778840128695,0.0005027241886494884,6.702556935208607e+18,1.858963133216261e+18,2.854378660484831,12,0.02276882715238007,20.0,57.087573209696615,0.2,watch_center,0.02189618387540217,0.0625,17,109.099,1025,1.5096578558884593e-15,watch,0.0004652265272166218,False
7.2416823638912025,0.07006778840128695,0.0005027241886494884,6.176115488448262e+30,1.4979388331121736e+30,2.854378660484831,16,0.02276882715238007,20.0,57.087573209696615,0.2,watch_center,0.02189618387540217,0.0625,17,109.099,1025,1.5096578558884593e-15,watch,0.0004652265272166218,False
7.241682363891201,0.07006778840128695,0.0005027241886494893,0.022332082803812117,0.009990347798691573,2.854378660484831,4,0.022768798222527583,20.0,57.087573209696615,0.2,watch_center,0.02189618387540217,0.0625,17,109.099,257,8.6266163193626215e-16,watch,0.0004652265272166209,False
7.241682363891201,0.07006778840128695,0.0005027241886494892,0.022332082803812117,0.009990347798691573,2.854378660484831,4,0.02276882133471406,20.0,57.087573209696615,0.2,watch_center,0.02189618387540217,0.0625,17,109.099,513,0.0,watch,0.000465226527216621,False
7.241682363891201,0.07006778840128695,0.0005027241886494893,390501.675159047,130169.81251458768,2.854378660484831,8,0.022768798222527583,20.0,57.087573209696615,0.2,watch_center,0.02189618387540217,0.0625,17,109.099,257,8.6266163193626215e-16,watch,0.0004652265272166209,False
7.241682363891201,0.07006778840128695,0.0005027241886494892,390501.675159047,130169.81251458768,2.854378660484831,8,0.02276882133471406,20.0,57.087573209696615,0.2,watch_center,0.02189618387540217,0.0625,17,109.099,513,0.0,watch,0.000465226527216621,False
7.241682363891201,0.07006778840128695,0.0005027241886494893,6.702556935208607e+18,1.858963133216261e+18,2.854378660484831,12,0.022768798222527583,20.0,57.087573209696615,0.2,watch_center,0.02189618387540217,0.0625,17,109.099,257,8.6266163193626215e-16,watch,0.0004652265272166209,False
7.241682363891201,0.07006778840128695,0.0005027241886494892,6.702556935208607e+18,1.858963133216261e+18,2.854378660484831,12,0.02276882133471406,20.0,57.087573209696615,0.2,watch_center,0.02189618387540217,0.0625,17,109.099,513,0.0,watch,0.000465226527216621,False
7.241682363891201,0.07006778840128695,0.0005027241886494893,6.176115488448262e+30,1.4979388331121736e+30,2.854378660484831,16,0.022768798222527583,20.0,57.087573209696615,0.2,watch_center,0.02189618387540217,0.0625,17,109.099,257,8.6266163193626215e-16,watch,0.0004652265272166209,False
7.241682363891201,0.07006778840128695,0.0005027241886494892,6.176115488448262e+30,1.4979388331121736e+30,2.854378660484831,16,0.02276882133471406,20.0,57.087573209696615,0.2,watch_center,0.02189618387540217,0.0625,17,109.099,513,0.0,watch,0.000465226527216621,False
7.201112104370329,0.17516947100321736,0.0005245779180330986,0.022332082803812065,0.01011168372181669,2.854378660484831,4,0.02447556112963401,20.0,57.087573209696615,0.5,watch_center,0.02189618387540217,0.0625,17,109.099,1025,9.714000600307965e-15,watch,0.00045537767497519816,False
7.201112104370329,0.17516947100321736,0.0005245779180330986,436238.7564349497,145414.03359994822,2.854378660484831,8,0.02447556112963401,20.0,57.087573209696615,0.5,watch_center,0.02189618387540217,0.0625,17,109.099,1025,9.714000600307965e-15,watch,0.00045537767497519816,False
