center_type,m0,Q,c_I,Delta,kappa,eps,W_abs,W_factor_equiv,nquad,R_jet,local_zero_count,E_I,S_I,B_eff,J_max,J_rms,tail_drift_rel,quad_drift_rel,tail_edge,status
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,20.0,29.68402694933699,513,12,8,9.835381665215895e-05,0.00992316265966018,23.366626932557462,2.957841671635518e+18,8.203577165978065e+17,0.0008562380542316833,0.0,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,500.0,742.1006737334247,257,4,288,9.844838017236e-05,0.009927941507867171,23.364193260344724,0.009920888039023218,0.004436757489343339,7.447639079278874e-08,1.376612508234418e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,500.0,742.1006737334247,513,4,288,9.844838017236e-05,0.009927941858374931,23.364193260344724,0.009920888039023218,0.004436757489343339,7.447639093044998e-08,0.0,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,500.0,742.1006737334247,1025,4,288,9.844838017235999e-05,0.009927941946602556,23.364193260344724,0.009920888039023218,0.004436757489343339,7.447639079278876e-08,0.0,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,500.0,742.1006737334247,257,8,288,9.844838017236e-05,0.009927941507867171,23.364193260344724,541451.1880698656,180483.73041388806,7.447639079278874e-08,1.376612508234418e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,500.0,742.1006737334247,513,8,288,9.844838017236e-05,0.009927941858374931,23.364193260344724,541451.1880698656,180483.73041388806,7.447639093044998e-08,0.0,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,500.0,742.1006737334247,1025,8,288,9.844838017235999e-05,0.009927941946602556,23.364193260344724,541451.1880698656,180483.73041388806,7.447639079278876e-08,0.0,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,500.0,742.1006737334247,257,12,288,9.844838017236e-05,0.009927941507867171,23.364193260344724,1.094501945002037e+18,3.03561323403469e+17,7.447639079278874e-08,1.376612508234418e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,500.0,742.1006737334247,513,12,288,9.844838017236e-05,0.009927941858374931,23.364193260344724,1.094501945002037e+18,3.03561323403469e+17,7.447639093044998e-08,0.0,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,500.0,742.1006737334247,1025,12,288,9.844838017235999e-05,0.009927941946602556,23.364193260344724,1.094501945002037e+18,3.03561323403469e+17,7.447639079278876e-08,0.0,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,500.0,742.1006737334247,257,16,288,9.844838017236e-05,0.009927941507867171,23.364193260344724,1.4971681622137678e+30,3.631167364779179e+29,7.447639079278874e-08,1.376612508234418e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,500.0,742.1006737334247,513,16,288,9.844838017236e-05,0.009927941858374931,23.364193260344724,1.4971681622137678e+30,3.631167364779179e+29,7.447639093044998e-08,0.0,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,500.0,742.1006737334247,1025,16,288,9.844838017235999e-05,0.009927941946602556,23.364193260344724,1.4971681622137678e+30,3.631167364779179e+29,7.447639079278876e-08,0.0,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.125,0.0842203790027161,20.0,29.68402694933699,257,4,8,0.0003915926683866179,0.019800294582484657,19.867685523785273,0.019786257527588405,0.00884868630709454,0.0008581989741356085,1.384349427368589e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.125,0.0842203790027161,20.0,29.68402694933699,513,4,8,0.0003915926683866179,0.01980029528000933,19.867685523785273,0.019786257527588405,0.00884868630709454,0.0008581989741354703,1.384349427368589e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.125,0.0842203790027161,20.0,29.68402694933699,1025,4,8,0.0003915926683866179,0.019800295455585884,19.867685523785273,0.019786257527588405,0.00884868630709454,0.0008581989741356085,1.384349427368589e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.125,0.0842203790027161,20.0,29.68402694933699,257,8,8,0.0003915926683866179,0.019800294582484657,19.867685523785273,202519.06336753236,67506.49451912883,0.0008581989741356085,1.384349427368589e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,100.0,148.42013474668494,1025,12,42,9.844752729632226e-05,0.009927898946628462,23.364215199382937,1.410154932884009e+18,3.911066089988994e+17,7.460171369074894e-06,2.753248868359356e-16,True,reject_tail_edge
watch_center,27.7179,1.4842013474668494,0.025,0.016844075800543222,0.0625,0.04211018950135805,100.0,148.42013474668494,257,16,42,9.844752729632225e-05,0.009927898507893952,23.364215199382937,7.146254303712116e+29,1.733229673115591e+29,7.460171369212555e-06,1.3766244341796783e-16,True,reject_tail_edge
